section	metric	value	units	source_file	source_column	source_row_or_filter	rounded_display_value	notes	unit	row_or_contrast	formatted_value
"3.7.1"	"ALT Retention_percent"	"80.4511278195489"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"ALT"	"80.45%"	""	NA	NA	NA
"3.7.1"	"AST FinnGen_matched_SNPs"	"773"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"AST"	"773"	""	NA	NA	NA
"3.7.1"	"AST Entering_harmonisation"	"773"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"AST"	"773"	""	NA	NA	NA
"3.7.1"	"AST Palindromic_ambiguous_removed"	"150"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"AST"	"150"	""	NA	NA	NA
"3.7.1"	"AST Final_MR_ready_SNPs"	"623"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"AST"	"623"	""	NA	NA	NA
"3.7.1"	"AST Retention_percent"	"80.5950840879689"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"AST"	"80.60%"	""	NA	NA	NA
"3.7.1"	"GGT FinnGen_matched_SNPs"	"796"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"GGT"	"796"	""	NA	NA	NA
"3.7.1"	"GGT Entering_harmonisation"	"796"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"GGT"	"796"	""	NA	NA	NA
"3.7.1"	"GGT Palindromic_ambiguous_removed"	"155"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"GGT"	"155"	""	NA	NA	NA
"3.7.1"	"GGT Final_MR_ready_SNPs"	"641"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"GGT"	"641"	""	NA	NA	NA
"3.7.1"	"GGT Retention_percent"	"80.5276381909548"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"GGT"	"80.53%"	""	NA	NA	NA
"3.7.1"	"HDL cholesterol FinnGen_matched_SNPs"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"HDL cholesterol"	"798"	""	NA	NA	NA
"3.7.1"	"HDL cholesterol Entering_harmonisation"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"HDL cholesterol"	"798"	""	NA	NA	NA
"3.7.1"	"HDL cholesterol Palindromic_ambiguous_removed"	"156"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"HDL cholesterol"	"156"	""	NA	NA	NA
"3.7.1"	"HDL cholesterol Final_MR_ready_SNPs"	"642"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"HDL cholesterol"	"642"	""	NA	NA	NA
"3.7.1"	"HDL cholesterol Retention_percent"	"80.4511278195489"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"HDL cholesterol"	"80.45%"	""	NA	NA	NA
"3.7.1"	"LDL cholesterol FinnGen_matched_SNPs"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"LDL cholesterol"	"798"	""	NA	NA	NA
"3.7.1"	"LDL cholesterol Entering_harmonisation"	"798"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"LDL cholesterol"	"798"	""	NA	NA	NA
"3.7.1"	"LDL cholesterol Palindromic_ambiguous_removed"	"156"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"LDL cholesterol"	"156"	""	NA	NA	NA
"3.7.1"	"LDL cholesterol Final_MR_ready_SNPs"	"642"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"LDL cholesterol"	"642"	""	NA	NA	NA
"3.7.1"	"LDL cholesterol Retention_percent"	"80.4511278195489"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"LDL cholesterol"	"80.45%"	""	NA	NA	NA
"3.7.1"	"Triglycerides (fasting) FinnGen_matched_SNPs"	"797"	"SNPs"	"results/mr/finngen/qc/finngen_outcome_extraction_grch38_qc.tsv"	"FinnGen_matched_SNPs"	"Triglycerides (fasting)"	"797"	""	NA	NA	NA
"3.7.1"	"Triglycerides (fasting) Entering_harmonisation"	"797"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Entering_harmonisation"	"Triglycerides (fasting)"	"797"	""	NA	NA	NA
"3.7.1"	"Triglycerides (fasting) Palindromic_ambiguous_removed"	"156"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Palindromic_ambiguous_removed"	"Triglycerides (fasting)"	"156"	""	NA	NA	NA
"3.7.1"	"Triglycerides (fasting) Final_MR_ready_SNPs"	"641"	"SNPs"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Final_MR_ready_SNPs"	"Triglycerides (fasting)"	"641"	""	NA	NA	NA
"3.7.1"	"Triglycerides (fasting) Retention_percent"	"80.426599749059"	"percent"	"results/mr/finngen/qc/finngen_harmonisation_qc.tsv"	"Retention_percent"	"Triglycerides (fasting)"	"80.43%"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis final_mr_ready_snps"	"652"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"Allergic rhinitis"	"652"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_beta"	"0.000620712080544741"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"Allergic rhinitis"	"0.0006207"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_SE"	"0.000973801865307224"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"Allergic rhinitis"	"0.0009738"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_lower_95CI"	"-0.00128793957545742"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"Allergic rhinitis"	"-0.001288"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_upper_95CI"	"0.0025293637365469"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"Allergic rhinitis"	"0.003"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_p_value"	"0.523857125177319"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"Allergic rhinitis"	"0.524"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"Allergic rhinitis"	"1"	""	NA	NA	NA
"3.7.2"	"Allergic rhinitis ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"Allergic rhinitis"	"0.786"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis final_mr_ready_snps"	"652"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"Bronchiectasis"	"652"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_beta"	"0.000842130210195404"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"Bronchiectasis"	"0.0008421"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_SE"	"0.00122103776688157"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"Bronchiectasis"	"0.001221"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_lower_95CI"	"-0.00155110381289247"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"Bronchiectasis"	"-0.001551"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_upper_95CI"	"0.00323536423328327"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"Bronchiectasis"	"0.003"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_p_value"	"0.490392930343358"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"Bronchiectasis"	"0.49"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"Bronchiectasis"	"1"	""	NA	NA	NA
"3.7.2"	"Bronchiectasis ivw_p_fdr_bh"	"0.785785687765979"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"Bronchiectasis"	"0.786"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease final_mr_ready_snps"	"652"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"Eosinophilic disease"	"652"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_beta"	"0.000145597349940325"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"Eosinophilic disease"	"0.0001456"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_SE"	"0.00270674242874457"	"ivw_SE"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_SE"	"Eosinophilic disease"	"0.002707"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_lower_95CI"	"-0.00515961781039902"	"ivw_lower_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_lower_95CI"	"Eosinophilic disease"	"-0.00516"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_upper_95CI"	"0.00545081251027967"	"ivw_upper_95CI"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_upper_95CI"	"Eosinophilic disease"	"0.005"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_p_value"	"0.957101983881824"	"ivw_p_value"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_value"	"Eosinophilic disease"	"0.957"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_p_bonferroni"	"1"	"ivw_p_bonferroni"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_bonferroni"	"Eosinophilic disease"	"1"	""	NA	NA	NA
"3.7.2"	"Eosinophilic disease ivw_p_fdr_bh"	"0.957101983881824"	"ivw_p_fdr_bh"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_p_fdr_bh"	"Eosinophilic disease"	"0.957"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) final_mr_ready_snps"	"652"	"final_mr_ready_snps"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"final_mr_ready_snps"	"BMI (inverse-rank normalized)"	"652"	""	NA	NA	NA
"3.7.2"	"BMI (inverse-rank normalized) ivw_beta"	"-0.000217175347883562"	"ivw_beta"	"results/mr/finngen/summary/finngen_mr_final_summary.tsv"	"ivw_beta"	"BMI (inverse-rank normalized)"	"-0.0002172"	""	NA	NA	NA
