exposure	outcome	outcome_id	outcome_type	method	method_id	nsnp	beta	SE	p_value	beta_lower_95CI	beta_upper_95CI	OR	OR_lower_95CI	OR_upper_95CI	qc_pass	qc_message
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	Weighted median	mr_weighted_median	652	0.000255250723116834	0.00405321347880036	0.949786489648805	-0.00768904769533187	0.00819954914156554	1.00025528330235	0.992340437412701	1.00823325751279	TRUE	PASS
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	Simple mode	mr_simple_mode	652	-0.0559352055280824	0.368584291083136	0.879425701900198	-0.77836041605103	0.666490004994865	0.945600403584266	0.459158222932016	1.94738998149472	TRUE	PASS
Asthma	Eosinophilic disease	EOSINOPHIL_DISEASE	binary	Weighted mode	mr_weighted_mode	652	-0.0559352055280824	0.373642158999708	0.881045617079096	-0.788273837167511	0.676403426111346	0.945600403584266	0.454628881835533	1.96679128622145	TRUE	PASS
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	Inverse variance weighted	mr_ivw	652	-0.000217175347883562	0.000166409397584385	0.191870168256249	-0.000543337767148956	0.000108987071381832	NA	NA	NA	TRUE	PASS
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	MR Egger	mr_egger_regression	652	-0.000233716890546036	0.000167060675281954	0.162291750300762	-0.000561155814098666	9.37220330065934e-05	NA	NA	NA	TRUE	PASS
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	Weighted median	mr_weighted_median	652	-0.000128751328174222	0.000146609081540511	0.379838031486786	-0.000416105127993623	0.00015860247164518	NA	NA	NA	TRUE	PASS
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	Simple mode	mr_simple_mode	652	0.0126577689416154	0.0177298371619552	0.475529611755165	-0.0220927118958169	0.0474082497790476	NA	NA	NA	TRUE	PASS
Asthma	BMI (inverse-rank normalized)	BMI_IRN	continuous	Weighted mode	mr_weighted_mode	652	0.0126577689416154	0.0158270114394264	0.424143111482321	-0.0183631734796604	0.0436787113628911	NA	NA	NA	TRUE	PASS
Asthma	NAFLD	NAFLD	binary	Inverse variance weighted	mr_ivw	652	-9.63147371930543e-05	0.00103165834224751	0.925618249030925	-0.00211836508799817	0.00192573561361206	0.999903689900922	0.997883877063813	1.00192759103326	TRUE	PASS
Asthma	NAFLD	NAFLD	binary	MR Egger	mr_egger_regression	652	-0.000260652319456782	0.00103420128983567	0.801095624646606	-0.00228768684753469	0.00176638220862113	0.999739381647408	0.997714927913723	1.00176794318063	TRUE	PASS
Asthma	NAFLD	NAFLD	binary	Weighted median	mr_weighted_median	652	-1.91145673956523e-05	0.00143617954108685	0.989381015725656	-0.00283402646792588	0.00279579733313458	0.999980885615287	0.997169985594093	1.00279970921926	TRUE	PASS
Asthma	NAFLD	NAFLD	binary	Simple mode	mr_simple_mode	652	-0.024561600074165	0.129876621301096	0.850061732114109	-0.279119777824314	0.229996577675984	0.975737581559728	0.756449291938153	1.25859570259981	TRUE	PASS
Asthma	NAFLD	NAFLD	binary	Weighted mode	mr_weighted_mode	652	-0.024561600074165	0.139046464409694	0.859843667445563	-0.297092670317166	0.247969470168836	0.975737581559728	0.7429751574281	1.28142081003585	TRUE	PASS
Asthma	CRP	3020460	continuous	Inverse variance weighted	mr_ivw	641	-0.000201702307536281	0.000125882720136605	0.109088539366306	-0.000448432439004026	4.5027823931464e-05	NA	NA	NA	TRUE	PASS
Asthma	CRP	3020460	continuous	MR Egger	mr_egger_regression	641	-0.000188614747678357	0.000126365206536931	0.136031239299979	-0.000436290552490742	5.90610571340272e-05	NA	NA	NA	TRUE	PASS
Asthma	CRP	3020460	continuous	Weighted median	mr_weighted_median	641	2.15809176289995e-05	0.000171749416382106	0.900006200875723	-0.000315047938479928	0.000358209773737927	NA	NA	NA	TRUE	PASS
Asthma	CRP	3020460	continuous	Simple mode	mr_simple_mode	641	-0.00437714502744927	0.00533943874512365	0.412648863239577	-0.0148424449678916	0.00608815491299309	NA	NA	NA	TRUE	PASS
Asthma	CRP	3020460	continuous	Weighted mode	mr_weighted_mode	641	-0.00437714502744927	0.00533079501807819	0.411891931891153	-0.0148255032628825	0.00607121320798399	NA	NA	NA	TRUE	PASS
Asthma	ALT	3006923	continuous	Inverse variance weighted	mr_ivw	642	0.000129384739787473	0.00016646411655694	0.437009497895474	-0.00019688492866413	0.000455654408239076	NA	NA	NA	TRUE	PASS
Asthma	ALT	3006923	continuous	MR Egger	mr_egger_regression	642	0.000132631604014461	0.000167270305459764	0.428119549022599	-0.000195218194686677	0.000460481402715599	NA	NA	NA	TRUE	PASS
Asthma	ALT	3006923	continuous	Weighted median	mr_weighted_median	642	2.86064762921781e-05	0.000136197397306162	0.833638889490943	-0.0002383404224279	0.000295553375012256	NA	NA	NA	TRUE	PASS
Asthma	ALT	3006923	continuous	Simple mode	mr_simple_mode	642	-0.000877150669458919	0.00606933506761492	0.885133942694217	-0.0127730474019842	0.0110187460630663	NA	NA	NA	TRUE	PASS
Asthma	ALT	3006923	continuous	Weighted mode	mr_weighted_mode	642	-0.000877150669458919	0.00602805051101758	0.884352781116384	-0.0126921296710534	0.0109378283321355	NA	NA	NA	TRUE	PASS
